No,Rank,Gender,Flavor,Juiciness,Tenderness,Umami,Palability,Marbling,Color,Texture,Surface Moisture,Total,Name,2,3,1+,1++
70854,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_070854.jpg,0,0,0,1
70865,1++,steer,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_070865.jpg,0,0,0,1
70912,1++,steer,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070912.jpg,0,0,0,1
70915,1++,steer,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_070915.jpg,0,0,0,1
70923,1++,steer,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070923.jpg,0,0,0,1
70925,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,QC_cow_segmentation_1++_070925.jpg,0,0,0,1
70964,1++,female,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_070964.jpg,0,0,0,1
70973,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_070973.jpg,0,0,0,1
70984,1++,steer,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,QC_cow_segmentation_1++_070984.jpg,0,0,0,1
70990,1++,steer,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070990.jpg,0,0,0,1
71020,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_071020.jpg,0,0,0,1
71041,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_071041.jpg,0,0,0,1
71046,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071046.jpg,0,0,0,1
71052,1++,female,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,QC_cow_segmentation_1++_071052.jpg,0,0,0,1
71058,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071058.jpg,0,0,0,1
71060,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_071060.jpg,0,0,0,1
71068,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_071068.jpg,0,0,0,1
71084,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071084.jpg,0,0,0,1
71095,1++,female,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_071095.jpg,0,0,0,1
71113,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071113.jpg,0,0,0,1
71116,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071116.jpg,0,0,0,1
71136,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_071136.jpg,0,0,0,1
71142,1++,steer,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_071142.jpg,0,0,0,1
71143,1++,steer,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_071143.jpg,0,0,0,1
71151,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_071151.jpg,0,0,0,1
71208,1++,female,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_071208.jpg,0,0,0,1
71210,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_071210.jpg,0,0,0,1
71223,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_071223.jpg,0,0,0,1
71232,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071232.jpg,0,0,0,1
71239,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_071239.jpg,0,0,0,1
71248,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_071248.jpg,0,0,0,1
71251,1++,steer,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_071251.jpg,0,0,0,1
71256,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071256.jpg,0,0,0,1
71257,1++,steer,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_071257.jpg,0,0,0,1
71263,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_071263.jpg,0,0,0,1
71314,1++,female,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071314.jpg,0,0,0,1
71335,1++,steer,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_071335.jpg,0,0,0,1
71338,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071338.jpg,0,0,0,1
71340,1++,female,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071340.jpg,0,0,0,1
71359,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_071359.jpg,0,0,0,1
71363,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071363.jpg,0,0,0,1
71375,1++,steer,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_071375.jpg,0,0,0,1
71388,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_071388.jpg,0,0,0,1
71405,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071405.jpg,0,0,0,1
71410,1++,steer,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071410.jpg,0,0,0,1
71466,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_071466.jpg,0,0,0,1
71480,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071480.jpg,0,0,0,1
71488,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071488.jpg,0,0,0,1
71490,1++,steer,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_071490.jpg,0,0,0,1
71504,1++,steer,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,QC_cow_segmentation_1++_071504.jpg,0,0,0,1
71529,1++,steer,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071529.jpg,0,0,0,1
71573,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_071573.jpg,0,0,0,1
71597,1++,steer,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_071597.jpg,0,0,0,1
71617,1++,steer,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071617.jpg,0,0,0,1
71621,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_071621.jpg,0,0,0,1
71667,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071667.jpg,0,0,0,1
71671,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071671.jpg,0,0,0,1
71681,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071681.jpg,0,0,0,1
71689,1++,steer,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_071689.jpg,0,0,0,1
71715,1++,steer,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_071715.jpg,0,0,0,1
71723,1++,steer,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,QC_cow_segmentation_1++_071723.jpg,0,0,0,1
71727,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071727.jpg,0,0,0,1
71728,1++,steer,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,QC_cow_segmentation_1++_071728.jpg,0,0,0,1
71743,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071743.jpg,0,0,0,1
71778,1++,female,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_071778.jpg,0,0,0,1
71798,1++,steer,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,QC_cow_segmentation_1++_071798.jpg,0,0,0,1
71807,1++,female,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_071807.jpg,0,0,0,1
71814,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071814.jpg,0,0,0,1
71824,1++,steer,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071824.jpg,0,0,0,1
71840,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071840.jpg,0,0,0,1
71869,1++,steer,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_071869.jpg,0,0,0,1
71870,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071870.jpg,0,0,0,1
71876,1++,female,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071876.jpg,0,0,0,1
71899,1++,steer,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,QC_cow_segmentation_1++_071899.jpg,0,0,0,1
71911,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_071911.jpg,0,0,0,1
71919,1++,female,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_071919.jpg,0,0,0,1
71933,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_071933.jpg,0,0,0,1
71939,1++,female,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_071939.jpg,0,0,0,1
71983,1++,steer,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_071983.jpg,0,0,0,1
72024,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_072024.jpg,0,0,0,1
72037,1++,female,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,QC_cow_segmentation_1++_072037.jpg,0,0,0,1
72040,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_072040.jpg,0,0,0,1
72058,1++,female,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_072058.jpg,0,0,0,1
72115,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_072115.jpg,0,0,0,1
72119,1++,steer,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_072119.jpg,0,0,0,1
72123,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072123.jpg,0,0,0,1
72133,1++,steer,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,QC_cow_segmentation_1++_072133.jpg,0,0,0,1
72137,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072137.jpg,0,0,0,1
72148,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072148.jpg,0,0,0,1
72150,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072150.jpg,0,0,0,1
72151,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072151.jpg,0,0,0,1
72192,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_072192.jpg,0,0,0,1
72212,1++,steer,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072212.jpg,0,0,0,1
72220,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072220.jpg,0,0,0,1
72227,1++,steer,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_072227.jpg,0,0,0,1
72228,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072228.jpg,0,0,0,1
72229,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_072229.jpg,0,0,0,1
72238,1++,steer,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_072238.jpg,0,0,0,1
72254,1++,steer,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072254.jpg,0,0,0,1
72258,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072258.jpg,0,0,0,1
72272,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072272.jpg,0,0,0,1
72274,1++,steer,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072274.jpg,0,0,0,1
72302,1++,female,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,QC_cow_segmentation_1++_072302.jpg,0,0,0,1
72322,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072322.jpg,0,0,0,1
72425,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072425.jpg,0,0,0,1
72433,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072433.jpg,0,0,0,1
72482,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072482.jpg,0,0,0,1
72491,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_072491.jpg,0,0,0,1
72522,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_072522.jpg,0,0,0,1
72528,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_072528.jpg,0,0,0,1
72557,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072557.jpg,0,0,0,1
72631,1++,female,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072631.jpg,0,0,0,1
72641,1++,steer,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072641.jpg,0,0,0,1
72685,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_072685.jpg,0,0,0,1
72697,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_072697.jpg,0,0,0,1
72717,1++,female,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_072717.jpg,0,0,0,1
72719,1++,steer,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_072719.jpg,0,0,0,1
72727,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_072727.jpg,0,0,0,1
72744,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_072744.jpg,0,0,0,1
72810,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_072810.jpg,0,0,0,1
72832,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_072832.jpg,0,0,0,1
72837,1++,steer,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,QC_cow_segmentation_1++_072837.jpg,0,0,0,1
72865,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_072865.jpg,0,0,0,1
72870,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_072870.jpg,0,0,0,1
72888,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,QC_cow_segmentation_1++_072888.jpg,0,0,0,1
73000,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_073000.jpg,0,0,0,1
73085,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_073085.jpg,0,0,0,1
73172,1++,steer,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_073172.jpg,0,0,0,1
73195,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_073195.jpg,0,0,0,1
73207,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_073207.jpg,0,0,0,1
73228,1++,steer,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_073228.jpg,0,0,0,1
73301,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_073301.jpg,0,0,0,1
73459,1++,female,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_073459.jpg,0,0,0,1
73484,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_073484.jpg,0,0,0,1
73485,1++,steer,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_073485.jpg,0,0,0,1
73487,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,QC_cow_segmentation_1++_073487.jpg,0,0,0,1
73508,1++,steer,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_073508.jpg,0,0,0,1
73535,1++,steer,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,QC_cow_segmentation_1++_073535.jpg,0,0,0,1
73549,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_073549.jpg,0,0,0,1
73600,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_073600.jpg,0,0,0,1
73612,1++,female,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_073612.jpg,0,0,0,1
73690,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_073690.jpg,0,0,0,1
73691,1++,steer,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_073691.jpg,0,0,0,1
73786,1++,steer,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,QC_cow_segmentation_1++_073786.jpg,0,0,0,1
73868,1++,steer,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,QC_cow_segmentation_1++_073868.jpg,0,0,0,1
74092,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_074092.jpg,0,0,0,1
74098,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_074098.jpg,0,0,0,1
74163,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_074163.jpg,0,0,0,1
74294,1++,steer,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_074294.jpg,0,0,0,1
74321,1++,steer,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_074321.jpg,0,0,0,1
74376,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_074376.jpg,0,0,0,1
74506,1++,steer,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_074506.jpg,0,0,0,1
74600,1++,steer,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_074600.jpg,0,0,0,1
74689,1++,female,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_074689.jpg,0,0,0,1
74731,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_074731.jpg,0,0,0,1
74827,1++,female,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,QC_cow_segmentation_1++_074827.jpg,0,0,0,1
74871,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_074871.jpg,0,0,0,1
74945,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_074945.jpg,0,0,0,1
75141,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_075141.jpg,0,0,0,1
75260,1++,steer,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_075260.jpg,0,0,0,1
75399,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_075399.jpg,0,0,0,1
75449,1++,female,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_075449.jpg,0,0,0,1
75454,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_075454.jpg,0,0,0,1
75557,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_075557.jpg,0,0,0,1
75647,1++,steer,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,QC_cow_segmentation_1++_075647.jpg,0,0,0,1
75704,1++,steer,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_075704.jpg,0,0,0,1
75730,1++,female,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_075730.jpg,0,0,0,1
75777,1++,steer,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_075777.jpg,0,0,0,1
75895,1++,steer,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_075895.jpg,0,0,0,1
76075,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_076075.jpg,0,0,0,1
76134,1++,female,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,QC_cow_segmentation_1++_076134.jpg,0,0,0,1
76210,1++,steer,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_076210.jpg,0,0,0,1
76234,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_076234.jpg,0,0,0,1
76247,1++,female,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_076247.jpg,0,0,0,1
76275,1++,steer,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,QC_cow_segmentation_1++_076275.jpg,0,0,0,1
76350,1++,steer,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_076350.jpg,0,0,0,1
76358,1++,steer,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_076358.jpg,0,0,0,1
76362,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_076362.jpg,0,0,0,1
